category,name,guid,nickname,description,type,library
X,Example,d541404d-b806-453e-8351-a954e824ed22,X,Example,Grasshopper.Kernel.Components.GH_DocExampleComponent,Grasshopper
Curve,Arc,bb59bffc-f54c-4682-9778-f6c3fe74fce3,Arc,"Create an arc defined by base plane, radius and angle domain.",CurveComponents.Component_Arc,Curve Components
Curve,Arc 3Pt,9fa1b081-b1c7-4a12-a163-0aa8da9ff6c4,Arc,Create an arc through three points.,CurveComponents.Component_Arc3Pt,Curve Components
Curve,Arc SED,9d2583dd-6cf5-497c-8c40-c9a290598396,Arc,"Create an arc defined by start point, end point and a tangent vector.",CurveComponents.Component_ArcSED,Curve Components
Curve,Bezier Span,30ce59ce-22a1-49ee-9e21-e6d16b3684a8,BzSpan,Construct a bezier span from endpoints and tangents.,CurveComponents.Component_BezierSpan,Curve Components
Curve,BiArc,75f4b0fd-9721-47b1-99e7-9c098b342e67,BiArc,Create a bi-arc based on endpoints and tangents.,CurveComponents.Component_BiArc,Curve Components
Curve,Blend Curve,5909dbcb-4950-4ce4-9433-7cf9e62ee011,BlendC,Create a blend curve between two curves.,CurveComponents.Component_BlendCurve,Curve Components
Curve,Blend Curve Pt,14cf43b6-5eb9-460f-899c-bdece732213a,BlendCPt,Create a blend curve between two curves that intersects a point.,CurveComponents.Component_BlendCurveThroughPoint,Curve Components
Curve,Catenary,275671d4-3e87-40bd-8aff-8e6a5fdbb892,Cat,Create a catenary chain between two points.,CurveComponents.Component_Catenary,Curve Components
Curve,Catenary Ex,769f9064-17f5-4c4a-921f-c3a0ee05ba3a,CatEx,Create a variable catenary chain between two points.,CurveComponents.Component_Catenary2,Curve Components
Curve,Circle,807b86e3-be8d-4970-92b5-f8cdcb45b06b,Cir,Create a circle defined by base plane and radius.,CurveComponents.Component_Circle,Curve Components
Curve,Circle 3Pt,47886835-e3ff-4516-a3ed-1b419f055464,Circle,Create a circle defined by three points.,CurveComponents.Component_Circle3Pt,Curve Components
Curve,Circle CNR,d114323a-e6ee-4164-946b-e4ca0ce15efa,Circle,"Create a circle defined by center, normal and radius.",CurveComponents.Component_CircleCNR,Curve Components
Curve,Circle Fit,be52336f-a2e1-43b1-b5f5-178ba489508a,FCircle,Fit a circle to a collection of points.,CurveComponents.Component_CircleFitPoints,Curve Components
Curve,Circle TanTan,50b204ef-d3de-41bb-a006-02fba2d3f709,CircleTT,Create a circle tangent to two curves.,CurveComponents.Component_CircleTanTan,Curve Components
Curve,Circle TanTanTan,dcaa922d-5491-4826-9a22-5adefa139f43,CircleTTT,Create a circle tangent to three curves.,CurveComponents.Component_CircleTanTanTan,Curve Components
Curve,Closed,323f3245-af49-4489-8677-7a2c73664077,Cls,Test if a curve is closed or periodic.,AnalysisComponents.Component_Closed,Curve Components
Curve,Connect Curves,d0a1b843-873d-4d1d-965c-b5423b35f327,Connect,Connect a sequence of curves.,CurveComponents.Component_ConnectCurves,Curve Components
