category,name,guid,nickname,description,type,library
Curve,Arc,bb59bffc-f54c-4682-9778-f6c3fe74fce3,Arc,"Create an arc defined by base plane, radius and angle domain",CurveComponents.Component_Arc,Curve Components
Curve,Arc 3Pt,9fa1b081-b1c7-4a12-a163-0aa8da9ff6c4,Arc,Create an arc through three points.,CurveComponents.Component_Arc3Pt,Curve Components
Curve,Arc SED,9d2583dd-6cf5-497c-8c40-c9a290598396,Arc,"Create an arc defined by start point, end point and a tangen",CurveComponents.Component_ArcSED,Curve Components
Curve,Bezier Span,30ce59ce-22a1-49ee-9e21-e6d16b3684a8,BzSpan,Construct a bezier span from endpoints and tangents.,CurveComponents.Component_BezierSpan,Curve Components
Curve,BiArc,75f4b0fd-9721-47b1-99e7-9c098b342e67,BiArc,Create a bi-arc based on endpoints and tangents.,CurveComponents.Component_BiArc,Curve Components
Curve,Blend Curve,5909dbcb-4950-4ce4-9433-7cf9e62ee011,BlendC,Create a blend curve between two curves.,CurveComponents.Component_BlendCurve,Curve Components
Curve,Blend Curve Pt,14cf43b6-5eb9-460f-899c-bdece732213a,BlendCPt,Create a blend curve between two curves that intersects a po,CurveComponents.Component_BlendCurveThroughPoint,Curve Components
Curve,Catenary,275671d4-3e87-40bd-8aff-8e6a5fdbb892,Cat,Create a catenary chain between two points.,CurveComponents.Component_Catenary,Curve Components
Curve,Catenary Ex,769f9064-17f5-4c4a-921f-c3a0ee05ba3a,CatEx,Create a variable catenary chain between two points.,CurveComponents.Component_Catenary2,Curve Components
Curve,Circle,807b86e3-be8d-4970-92b5-f8cdcb45b06b,Cir,Create a circle defined by base plane and radius.,CurveComponents.Component_Circle,Curve Components
Curve,Circle 3Pt,47886835-e3ff-4516-a3ed-1b419f055464,Circle,Create a circle defined by three points.,CurveComponents.Component_Circle3Pt,Curve Components
Curve,Circle CNR,d114323a-e6ee-4164-946b-e4ca0ce15efa,Circle,"Create a circle defined by center, normal and radius.",CurveComponents.Component_CircleCNR,Curve Components
Curve,Circle Fit,be52336f-a2e1-43b1-b5f5-178ba489508a,FCircle,Fit a circle to a collection of points.,CurveComponents.Component_CircleFitPoints,Curve Components
Curve,Circle TanTan,50b204ef-d3de-41bb-a006-02fba2d3f709,CircleTT,Create a circle tangent to two curves.,CurveComponents.Component_CircleTanTan,Curve Components
Curve,Circle TanTanTan,dcaa922d-5491-4826-9a22-5adefa139f43,CircleTTT,Create a circle tangent to three curves.,CurveComponents.Component_CircleTanTanTan,Curve Components
Curve,Closed,323f3245-af49-4489-8677-7a2c73664077,Cls,Test if a curve is closed or periodic.,AnalysisComponents.Component_Closed,Curve Components
Curve,Connect Curves,d0a1b843-873d-4d1d-965c-b5423b35f327,Connect,Connect a sequence of curves.,CurveComponents.Component_ConnectCurves,Curve Components
Curve,Contour (ex),3e7e4827-6edd-4e10-93ac-cc234414d2b9,Contour,Create a set of Curve contours,SurfaceComponents.SolidComponents.Component_CurveContour2,Surface Components
Curve,Control Points,424eb433-2b3a-4859-beaf-804d8af0afd7,CP,Extract the nurbs control points and knots of a curve.,AnalysisComponents.Component_ControlPoints,Curve Components
Curve,Control Polygon,66d2a68e-2f1d-43d2-a53b-c6a4d17e627b,CPoly,Extract the nurbs control polygon of a curve.,AnalysisComponents.Component_ControlPolygon,Curve Components
Curve,Curvature,aaa665bd-fd6e-4ccb-8d2c-c5b33072125d,Curvature,Evaluate the curvature of a curve at a specified parameter.,AnalysisComponents.Component_CurveCurvature,Curve Components
Curve,Curvature Graph,7376fe41-74ec-497e-b367-1ffe5072608b,CrvGraph,Draws Rhino Curvature Graphs.,Grasshopper.Kernel.Components.GH_CurvatureGraphComponent,Grasshopper
Curve,Curve Closest Point,2dc44b22-b1dd-460a-a704-6462d6e91096,Crv CP,Find the closest point on a curve.,AnalysisComponents.Component_CurveClosestPoint,Curve Components
Curve,Curve Contour,88cff285-7f5e-41b3-96d5-9588ff9a52b1,Contour,Create a set of Curve contours,SurfaceComponents.SolidComponents.Component_CurveContour1,Surface Components
Curve,Curve Depth,a583f722-240a-4fc9-aa1d-021720a4516a,Depth,Measure the depth of a curve.,AnalysisComponents.Component_CurveDepth,Curve Components
Curve,Curve Domain,ccfd6ba8-ecb1-44df-a47e-08126a653c51,CrvDom,Measure and set the curve domain,AnalysisComponents.Component_CurveDomain,Curve Components
Curve,Curve Frame,6b2a5853-07aa-4329-ba84-0a5d46b51dbd,Frame,Get the curvature frame of a curve at a specified parameter.,VectorComponents.DivisionComponents.Component_CurveFrame,Vector Components
Curve,Curve Frames,0e94542a-2e46-4793-9f98-2200b06b28f4,Frames,Generate a number of equally spaced curve frames.,VectorComponents.DivisionComponents.Component_CurveFrames,Vector Components
Curve,Curve Middle,ccc7b468-e743-4049-891f-299432545898,MidPt,Get the point in the middle of a curve,AnalysisComponents.Component_CurveMidPoint,Curve Components
Curve,Curve Nearest Object,748f214a-bc64-4556-9da5-4fa59a30c5c7,CrvNear,Find the object nearest to a curve.,AnalysisComponents.Component_CurveNearestObject,Curve Components
Curve,Curve On Surface,ffe2dbed-9b5d-4f91-8fe3-10c8961ac2f8,CrvSrf,Create an interpolated curve through a set of points on a su,CurveComponents.Component_InterpCurveOnSurface,Curve Components
Curve,Curve Proximity,6b7ba278-5c9d-42f1-a61d-6209cbd44907,CrvProx,Find the pair of closest points between two curves.,AnalysisComponents.Component_CurveProximity,Curve Components
Curve,Curve Side,bb2e13da-09ca-43fd-bef8-8d71f3653af9,Side,Find on which side of a curve a point exists,AnalysisComponents.Component_CurveSide,Curve Components
Curve,Curve To Polyline,2956d989-3599-476f-bc92-1d847aff98b6,ToPoly,Convert a curve to a polyline.,CurveComponents.Component_CurveToPolyline,Curve Components
Curve,Dash Pattern,95866bbe-648e-4e2b-a97c-7d04679e94e0,Dash,Convert a curve to a dash pattern.,CurveComponents.Component_DashCurve,Curve Components
Curve,Deconstruct Arc,23862862-049a-40be-b558-2418aacbd916,DArc,"Retrieve the base plane, radius and angle domain of an arc.",AnalysisComponents.Component_DeconstructArc,Curve Components
Curve,Deconstuct Rectangle,e5c33a79-53d5-4f2b-9a97-d3d45c780edc,DRec,Retrieve the base plane and side intervals of a rectangle.,AnalysisComponents.Component_DeconstructRectangle,Curve Components
Curve,Derivatives,ab14760f-87a6-462e-b481-4a2c26a9a0d7,CDiv,Evaluate the derivatives of a curve at a specified parameter,AnalysisComponents.Component_CurveDerivatives,Curve Components
Curve,Discontinuity,269eaa85-9997-4d77-a9ba-4c58cb45c9d3,Disc,Find all discontinuities along a curve.,AnalysisComponents.Component_CurveDiscontinuity,Curve Components
